UID,iso2,iso3,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed,Deaths
16,AS,ASM,16,60,,American Samoa,US,-14.271,-170.132,"American Samoa, US",1/22/20,0,0
316,GU,GUM,316,66,,Guam,US,13.4443,144.7937,"Guam, US",1/22/20,0,0
580,MP,MNP,580,69,,Northern Mariana Islands,US,15.0979,145.6739,"Northern Mariana Islands, US",1/22/20,0,0
63072001,PR,PRI,630,72001,Adjuntas,Puerto Rico,US,18.180117,-66.754367,"Adjuntas, Puerto Rico, US",1/22/20,0,0
63072003,PR,PRI,630,72003,Aguada,Puerto Rico,US,18.360255,-67.175131,"Aguada, Puerto Rico, US",1/22/20,0,0
63072005,PR,PRI,630,72005,Aguadilla,Puerto Rico,US,18.459681,-67.120815,"Aguadilla, Puerto Rico, US",1/22/20,0,0
63072007,PR,PRI,630,72007,Aguas Buenas,Puerto Rico,US,18.251619,-66.126806,"Aguas Buenas, Puerto Rico, US",1/22/20,0,0
63072009,PR,PRI,630,72009,Aibonito,Puerto Rico,US,18.131361,-66.264131,"Aibonito, Puerto Rico, US",1/22/20,0,0
63072011,PR,PRI,630,72011,Anasco,Puerto Rico,US,18.287985,-67.120611,"Anasco, Puerto Rico, US",1/22/20,0,0
63072013,PR,PRI,630,72013,Arecibo,Puerto Rico,US,18.406631,-66.675077,"Arecibo, Puerto Rico, US",1/22/20,0,0
63072015,PR,PRI,630,72015,Arroyo,Puerto Rico,US,17.998457,-66.056546,"Arroyo, Puerto Rico, US",1/22/20,0,0
63072017,PR,PRI,630,72017,Barceloneta,Puerto Rico,US,18.445533,-66.560531,"Barceloneta, Puerto Rico, US",1/22/20,0,0
63072019,PR,PRI,630,72019,Barranquitas,Puerto Rico,US,18.201592,-66.30963,"Barranquitas, Puerto Rico, US",1/22/20,0,0
63072021,PR,PRI,630,72021,Bayamon,Puerto Rico,US,18.34946,-66.168435,"Bayamon, Puerto Rico, US",1/22/20,0,0
63072023,PR,PRI,630,72023,Cabo Rojo,Puerto Rico,US,18.040993,-67.154391,"Cabo Rojo, Puerto Rico, US",1/22/20,0,0
63072025,PR,PRI,630,72025,Caguas,Puerto Rico,US,18.211615,-66.050779,"Caguas, Puerto Rico, US",1/22/20,0,0
63072027,PR,PRI,630,72027,Camuy,Puerto Rico,US,18.418578,-66.860206,"Camuy, Puerto Rico, US",1/22/20,0,0
63072029,PR,PRI,630,72029,Canovanas,Puerto Rico,US,18.328802,-65.887612,"Canovanas, Puerto Rico, US",1/22/20,0,0
63072031,PR,PRI,630,72031,Carolina,Puerto Rico,US,18.374986,-65.956831,"Carolina, Puerto Rico, US",1/22/20,0,0
63072033,PR,PRI,630,72033,Catano,Puerto Rico,US,18.437269,-66.143306,"Catano, Puerto Rico, US",1/22/20,0,0
63072035,PR,PRI,630,72035,Cayey,Puerto Rico,US,18.102851,-66.14914,"Cayey, Puerto Rico, US",1/22/20,0,0
63072037,PR,PRI,630,72037,Ceiba,Puerto Rico,US,18.251818,-65.666416,"Ceiba, Puerto Rico, US",1/22/20,0,0
63072039,PR,PRI,630,72039,Ciales,Puerto Rico,US,18.28885,-66.516475,"Ciales, Puerto Rico, US",1/22/20,0,0
63072041,PR,PRI,630,72041,Cidra,Puerto Rico,US,18.173559,-66.161179,"Cidra, Puerto Rico, US",1/22/20,0,0
63072043,PR,PRI,630,72043,Coamo,Puerto Rico,US,18.097597,-66.36014,"Coamo, Puerto Rico, US",1/22/20,0,0
63072045,PR,PRI,630,72045,Comerio,Puerto Rico,US,18.224687,-66.221622,"Comerio, Puerto Rico, US",1/22/20,0,0
63072047,PR,PRI,630,72047,Corozal,Puerto Rico,US,18.304264,-66.327738,"Corozal, Puerto Rico, US",1/22/20,0,0
